id;age;weight;height;sex
971;122,04;31,5;137,4;F
972;124,77;33,7;142,2;M
973;114,15;30,2;135,95;M
974;114,08;29;133,1;M
975;120,76;29,9;134,1;M
976;124,64;32,3;138,5;M
977;124,67;27,4;127,55;M
978;122,37;27,5;126,95;F
979;116,55;31,1;136;F
980;122,14;32,4;137,55;F
981;116,65;34,5;142,9;F
982;123,45;31,7;136,65;M
983;125,33;30,2;133;M
984;122,43;39;150,5;F
985;122,3;33,5;139,4;F
986;116,84;30,5;135;M
987;121,51;28,7;128,95;F
988;120;32;137;M
989;119,84;36,6;146,5;M
990;118,62;32,1;136,25;F
991;124,04;40;152;M
992;114,74;27,6;126,9;F
993;123,81;34,8;140,55;F
994;123,45;37;146,25;M
995;119,97;30;132,2;M
996;114,25;36,5;145,3;F
997;122,4;42;153,5;F
998;121,71;29,9;129,15;F
999;122,04;31,1;132,95;M
1000;116,22;36,6;145;M
1001;117,67;35,2;140,5;F
1002;119,61;35,2;141,5;M
1003;117,07;30,5;130,55;F
1004;124,14;33,5;136,35;M
1005;114,64;31,3;132,15;F
1006;124,64;38;145;M
1007;120,2;29,8;127,5;F
1008;119,24;36,5;143;M
1009;122,14;41;149;F
1010;122,1;34,8;138,95;M
1011;123,52;39,6;148;M
1012;119,44;32,8;133,35;F
1013;117,27;33,2;135,55;M
1014;120,66;42,4;150;F
1015;123,35;34,5;135,85;M
1016;118,16;42;148,5;F
1017;116,55;41,5;148;F
1018;125,16;40,2;144;M
1019;125,92;51;162;M
1020;120,89;50,7;159,5;F
1021;123,22;40,6;144,4;M
1022;116,12;36,6;137,9;M
1023;115,07;45,7;150,65;F
1024;116,61;37,4;134,75;F
1025;121,97;48;150,35;F
1026;120,82;41,4;142,4;M
1027;122,56;43;144;M
1028;116,68;35,1;131,45;M
1029;120,59;42;142;M
1030;115,73;40,7;140,5;M
1031;119,61;46;148,25;M
1032;115,27;42,3;139,75;F
1033;118,26;40,3;138,95;M
1034;118,29;47;146,2;F
1035;120,03;50;150,1;F
1036;114,05;47;150,5;M
1037;125,39;44,1;142,35;M
1038;125,03;49,4;146,1;F
1039;124,31;46,9;145,8;M
1040;123,25;41,3;136,7;M
1041;122,17;46;144,55;M
1042;116,32;49,1;146,65;F
1043;119,74;47,7;142,5;F
1044;116,35;51,5;148,1;F
1045;123,65;51,6;145,55;F
1046;121,71;43,9;138,65;M
1047;125,19;53,7;145,15;F
1048;120,56;60;154,5;F
1049;121,78;49,9;144,5;M
1050;114,84;49;145,4;M
1051;120,89;49,3;141,95;M
1052;117,14;50,8;145;M
1053;114,64;53,2;143,35;F
1054;118,13;53;139,55;F
1055;120,46;58,6;150;M
1056;124,14;76,6;156,05;F
1057;129,93;22,9;135,55;F
1058;132,69;26;141;F
1059;130,06;27;143;F
1060;130,78;30,4;150,05;M
1061;133,91;26,3;139,6;F
1062;136,21;24,7;133,5;M
1063;134,14;27,5;141,15;F
1064;135,06;28,9;143;M
1065;128,45;38;165;F
1066;127,92;26,4;136,15;M
1067;134,86;25,9;133,9;F
1068;137,72;30,9;145,45;F
1069;128,71;33;152;F
1070;135,06;27,2;136,5;F
1071;131,08;30,4;145;F
1072;137,36;28,7;139,45;M
1073;128,12;27;137;F
1074;126,67;27;137,3;F
1075;132,33;33;150;M
1076;132,23;27;136;F
1077;132,49;25,7;132,15;F
1078;136,54;31;144;F
1079;131,41;27;135;M
1080;134,66;31,2;144,6;M
1081;135,29;36,5;156;M
1082;133,08;32,3;147;F
1083;131,38;27,5;136;F
1084;136,21;31,6;144,5;M
1085;137,26;38,8;159,65;F
1086;133,87;29,2;139,1;M
1087;133,81;28;136,1;M
1088;130,42;40;163;F
1089;133,48;42;166;F
1090;129,73;26,7;133;F
1091;134,76;34,8;150,55;F
1092;129,83;28;136;M
1093;137,85;33;146;M
1094;129,53;29;138;F
1095;128,19;30,5;141,5;M
1096;129,34;30,5;141,15;F
1097;132,85;29,9;138,9;F
1098;130,39;36;153;M
1099;130,49;28,5;136,1;M
1100;133,12;32;143;F
1101;135,35;32,6;143,5;F
1102;132,69;32,2;143,5;M
1103;132,89;30,7;140;M
1104;130,03;28,6;135,45;M
1105;135,75;35,7;149,55;F
1106;137;36;149,9;F
1107;127,59;32,4;144;F
1108;133,91;39,3;157;F
1109;134,53;37;152;F
1110;135,16;37,1;151,95;F
1111;133,71;29,2;135,05;F
1112;137,13;31,7;140,45;M
1113;132,23;32,4;142,5;M
1114;127,99;31,3;140,9;M
1115;129,24;29,2;135,25;F
1116;129,6;35,2;149;M
1117;129,6;31,3;140;F
1118;133,15;28;132,1;M
1119;133,12;35,1;147,9;M
1120;130,82;34;146;M
1121;133,51;29;134,3;M
1122;132,49;29;133,8;F
1123;134,37;31;138,45;M
1124;128,71;26,3;128,4;M
1125;128,12;32,1;141,25;F
1126;128,15;31,9;141,25;M
1127;135,02;32,9;141,15;F
1128;132,99;38;152,25;F
1129;130,75;30,7;137,9;M
1130;136,83;33,9;143,55;M
1131;127,89;32;141;M
1132;132,56;33,8;143;F
1133;130,98;33;141,6;F
1134;133,74;34,5;144,05;F
1135;133,18;34;143;F
1136;133,78;41;158;M
1137;133,97;38,3;151,55;F
1138;128,65;35;146;F
1139;127,66;34,5;145;F
1140;131,93;34;143;F
1141;135,78;36,1;147,25;M
1142;125,95;39;154;F
1143;133,08;33,8;142,15;M
1144;127,27;32,3;140;M
1145;129,17;35;144;F
1146;135,85;37,2;146,95;F
1147;137,23;40,4;152,5;F
1148;129,6;32;137,5;F
1149;136,08;36;145,5;M
1150;128,15;30,8;135,6;M
1151;133,45;33,4;140,2;M
1152;133,45;37,2;146,4;F
1153;129,6;45;162;F
1154;131,64;40;153,6;M
1155;127,27;35,7;144,5;F
1156;127,66;30,8;135,1;M
1157;128,78;38;148,5;F
1158;137,72;36,3;144,5;M
1159;130,95;28,9;128,9;F
1160;133,38;37,3;145,6;F
1161;135,39;39,5;149,05;F
1162;134,04;35;141,9;M
1163;136,93;39;149;M
1164;126,35;30,6;133,45;M
1165;131,47;30,1;131;M
1166;137,52;32,8;135,55;M
1167;126,97;38;146;F
1168;130,39;36,5;143,4;M
1169;131,28;43,1;155,25;M
1170;134,17;40,4;147,55;F
1171;127,92;41,5;151,15;F
1172;126,05;43,5;155;F
1173;135,06;38,5;145,4;M
1174;132,23;37,6;142,3;F
1175;130,62;41,2;148,9;F
1176;126,64;28,7;126,6;M
1177;134,79;50;162;F
1178;135,19;37;140,5;M
1179;128,71;39;143,5;F
1180;127,1;47;160;M
1181;137,75;39;141;F
1182;127,36;33;134;M
1183;132,36;39,4;142,7;F
1184;126,87;36,7;140,9;M
1185;132,99;41,1;144,75;F
1186;136,44;42,4;145,75;F
1187;131,28;40,3;143,05;F
1188;136,7;39;142;M
1189;137,69;50,3;157,5;F
1190;127,82;42;149;M
1191;128,05;38,4;139,5;F
1192;131,05;44;151;M
1193;137,79;50,6;160;M
1194;130,09;43;149;M
1195;128,22;40;144;M
1196;126,84;39,6;141,1;F
1197;128,81;46,6;152,45;F
1198;126,74;40;144;M
1199;131,97;51;161;M
1200;134,14;43,9;148,45;M
1201;137,79;41,8;143,95;M
1202;128,52;42;146;M
1203;131,05;42;145;M
1204;129,96;39,7;138,5;F
1205;128,71;40,1;142,2;M
1206;136,11;48,9;151,15;F
1207;127,66;48,5;153,1;F
1208;135,25;54;159;F
1209;127,92;46;149;F
1210;137,59;50,5;152,5;F
1211;134,63;42,7;144;M
1212;136,34;49;150;F
1213;127,4;46;151;M
1214;129,47;46,5;151;M
1215;135,42;47,4;150,3;M
1216;128,25;45;145;F
1217;128,75;55,5;161;F
1218;133,78;42,7;139,75;F
1219;127,3;47,2;152;M
1220;127,73;45;145;F
1221;131,54;42,4;142,5;M
1222;126,41;39;137,9;M
1223;134,6;44,1;141;F
1224;137,85;51,7;151,65;F
1225;132,89;47,8;147;F
1226;129,24;49,5;154;M
1227;135,45;54;159;M
1228;134,56;67;176,95;M
1229;129,93;47,3;146,45;F
1230;129,34;48;151;M
1231;126,61;40,3;138,95;M
1232;130,75;52,8;153,5;F
1233;135,09;55;159;M
1234;130,98;42,5;141,1;M
1235;135,06;43,8;141,85;M
1236;134,43;53,4;152;F
1237;132,23;53,7;153,05;F
1238;137,13;61;161;F
1239;137,1;48;146,65;M
1240;135,98;53,2;150,9;F
1241;127,27;52,3;151,45;F
1242;130,88;52;153,9;M
1243;135,42;52,4;152;M
1244;132,23;49;143;F
1245;129,04;57;155;F
1246;129,8;48;146;M
1247;128,15;45,6;138,6;F
1248;137,1;45,4;138,95;M
1249;130,36;51;145;F
1250;128,75;54;154;M
1251;126,77;43,2;138;M
1252;128,09;49,1;146,4;M
1253;137,82;61,6;155,95;F
1254;131,77;48;142,95;M
1255;129,67;53,5;147;F
1256;137,88;56,9;148,95;F
1257;128,12;51,2;148,4;M
1258;137,03;56;152;M
1259;130,98;49,4;140,35;F
1260;134,93;61,3;154,45;F
1261;134,4;53,2;147,45;M
1262;136,31;54,4;148,2;M
1263;131,97;61;153,5;F
1264;127,56;58;150;F
1265;130,36;55,3;144,4;F
1266;126,81;49;141;M
1267;126,05;58,3;153;M
1268;129,11;60;154;M
1269;137,03;66,5;153,5;F
1270;127,2;65,6;156,5;M
1271;127,4;59,5;143,35;F
1272;130,26;59;146;M
1273;129,53;70;156,5;M
1274;126,61;69;155,5;M
1275;137;86,5;166;M
1276;126,67;73,2;154,5;M
1277;140,35;41;198,9;M
1278;142,42;28,8;145,85;F
1279;140,98;24,2;133,85;F
1280;143,97;27,4;140;M
1281;146,7;26;135,35;F
1282;140,75;28,4;141,55;M
1283;148,27;33,3;151;F
1284;148,31;30;142,5;M
1285;143,93;31,1;146;F
1286;146,53;30,7;143,95;F
1287;138,84;33,9;152,5;F
1288;145,97;39;161,5;F
1289;147,95;31;143,5;M
1290;149,85;30,5;141,8;M
1291;144,66;31,3;144,45;M
1292;140,48;31;144,2;M
1293;142,39;30;140,4;F
1294;145,91;31;141,5;F
1295;143,97;30,4;140,5;F
1296;146,96;28,9;136,3;F
1297;144,07;29,7;139;M
1298;139,76;31,3;143,6;M
1299;140,88;32,8;146,4;F
1300;140,42;31,3;143;F
1301;146,1;32,8;145,5;M
1302;143,93;36,6;153,95;M
1303;140,94;35,6;151,95;F
1304;149,33;36;150,1;F
1305;147,02;32,2;143;M
1306;138,77;32,1;144,5;M
1307;145,38;31,3;140,3;F
1308;139,3;34,3;148;F
1309;141,73;29,4;136,9;M
1310;149,88;38,7;155,15;M
1311;140,12;35,7;149,85;F
1312;145,41;34,3;146,05;M
1313;142,82;33,7;144,5;F
1314;144,2;36,7;151,25;M
1315;138,67;33,8;146;M
1316;149,69;37,1;150,45;M
1317;139,4;39;155,55;F
1318;143,21;31;137,35;F
1319;144,3;34;143,5;F
1320;144,13;33,1;142,55;M
1321;146,96;26,6;127,4;M
1322;138,51;39;155;F
1323;143,31;33,8;143;F
1324;137,98;34;144,4;F
1325;146,17;40,2;154,5;F
1326;142,92;32,1;139;F
1327;138,58;34,6;146,2;M
1328;147,29;33,9;142,3;M
1329;139,63;33,5;141,95;F
1330;144,85;32,1;137,6;F
1331;144,72;37,5;148,4;F
1332;149,85;34,3;142,15;M
1333;143,8;36,9;147,2;F
1334;143,9;33,5;141,35;M
1335;137,98;45,7;165,2;F
1336;146,93;39;150;F
1337;138,18;44;161,55;F
1338;140,68;35;143,25;F
1339;141,96;40,5;155,25;M
1340;140,19;32,8;138,6;F
1341;146,01;36,3;144,5;F
1342;149,72;48,6;166;F
1343;149,42;36,7;144,05;F
1344;138,64;35,9;145,2;F
1345;138,67;33,5;141,45;M
1346;144,36;32,5;138;M
1347;147,68;46;161;F
1348;146,43;36,6;145,35;M
1349;141,5;42;154,95;F
1350;140,91;38,3;149,55;M
1351;139,46;33,5;139,95;M
1352;140,88;38,1;148,95;M
1353;141,76;36,6;145,75;M
1354;138,38;38,4;149;M
1355;147,55;34,5;139,25;M
1356;143,93;41,3;151,25;F
1357;141,14;35;139,65;F
1358;146,6;40,3;148;F
1359;144,92;46;158,55;F
1360;141,5;34,7;138,45;F
1361;142,19;49,5;167;M
1362;145,55;47,2;159,5;F
1363;145,18;40,7;150,1;M
1364;142,75;40,1;147,45;F
1365;138,12;33,9;138,35;M
1366;144,56;37,7;143,85;M
1367;140,35;36,9;141;F
1368;141,9;39,6;147,65;M
1369;137,95;36,7;140,95;F
1370;146,4;48,9;159,95;F
1371;148,77;40,6;147,35;M
1372;142,26;47,3;158;F
1373;144,03;41,3;146,65;F
1374;146,07;46;156,5;M
1375;147,22;41;147,5;M
1376;141,99;46,4;155,85;F
1377;145,12;45,1;154,4;M
1378;138,15;35,2;137,95;M
1379;148,7;43;146,65;F
1380;142,49;44;150;F
1381;148,14;43;148,7;M
1382;143,28;46,8;153,5;F
1383;144,49;43;149,5;M
1384;147,09;51,5;159,35;F
1385;138,28;35,8;137;M
1386;141,3;44,1;147,95;F
1387;141,17;38,6;140,95;M
1388;149,65;47,5;150,8;F
1389;146,89;43,6;148,3;M
1390;144,07;49,3;154,55;F
1391;146,66;43,6;147,85;M
1392;149,59;59,1;165,45;F
1393;140,38;47,6;154;M
1394;142,09;46;147,5;F
1395;149,62;54,5;161,95;M
1396;147,48;52,1;153,5;F
1397;140,81;46,2;149,75;M
1398;142,36;50,5;152;F
1399;148,73;51;154;M
1400;144,53;43,3;142,75;M
1401;144,26;54;155,5;F
1402;149,42;51,5;153,95;M
1403;141,99;62;170,5;M
1404;149,06;57,8;157,95;F
1405;146,1;55;159;M
1406;139,59;47,6;146;F
1407;139,13;41;138,25;M
1408;146,99;54,7;153,5;F
1409;142,65;53,4;152,6;F
1410;139,99;44,1;142,95;M
1411;143,34;55,4;154,5;F
1412;144,76;49,8;150;M
1413;141,99;64;165,5;F
1414;142,45;55;152,5;F
1415;148,37;54,8;149,95;F
1416;141,44;57,5;155,75;F
1417;145,91;60,3;157,05;F
1418;138,25;50,4;149,45;M
1419;140,25;53;152;M
1420;141,17;59;154,9;F
1421;146,53;59,6;153,95;F
1422;144,62;57;155,5;M
1423;142,82;63,4;160;F
1424;140,84;52;144,6;F
1425;139,36;56;151,6;M
1426;141,86;52;144,95;M
1427;141,67;68,3;165,6;M
1428;139,5;67,4;158,9;F
1429;144,49;70,3;163,15;M
1430;138,18;57,2;144,5;F
1431;147,09;67,4;157,95;M
1432;143,47;68,9;155,25;F
1433;138,54;72,1;160,5;F
1434;139,59;67,9;159,95;M
1435;138,02;60,6;151;M
1436;140,94;75,6;157,8;F
1437;139,04;87,4;147;M
1438;150,67;19,5;123,8;F
1439;155,93;22,8;128,65;M
1440;152,19;27;141,55;F
1441;160,83;33,9;155,35;F
1442;156,66;34,4;154,2;M
1443;156,85;34,6;153,45;M
1444;154,45;26,3;133,85;M
1445;159,48;35,1;153;F
1446;160,41;40,8;163,25;M
1447;154,39;38,6;159,35;F
1448;151,96;34,3;149,85;F
1449;156,2;28,7;135,9;M
1450;151,63;34,5;148,9;F
1451;158,79;36,7;152,1;M
1452;154,59;44,1;167;F
1453;161,85;34;145,6;M
1454;157,32;35,5;149,55;M
1455;158,24;41,2;160;M
1456;151,17;33,2;144,3;F
1457;158,2;38,5;154,35;M
1458;151,04;42,6;162,85;F
1459;151,04;33,8;144,95;F
1460;157,71;40,5;158,1;M
1461;152,15;30,5;137,5;M
1462;155,18;42,3;160;F
1463;153,01;39,1;153,45;F
1464;154,13;38,1;150,95;F
1465;156,03;32,8;140,5;M
1466;161,82;40,8;155,4;M
1467;161,03;41,1;154,2;F
1468;152,88;41,6;156,95;F
1469;158,1;35,7;144,75;M
1470;160,73;37,9;147,15;F
1471;160,7;36,5;145,85;M
1472;150,25;36,2;145,9;F
1473;150,48;36,9;148,5;M
1474;152,09;46,8;166,5;M
1475;150,25;41,7;156,05;F
1476;155,57;36,6;146,5;M
1477;161,23;48,5;165,15;F
1478;152,61;47,3;166,65;M
1479;154,65;43,9;159,9;M
1480;154,09;45,4;162,35;M
1481;154,78;41,5;155;M
1482;150,08;39;149,45;F
1483;151,59;32,1;136,9;M
1484;153,67;37,6;147,05;M
1485;150,08;39,7;149,95;F
1486;157,64;39,4;147,45;F
1487;160,7;39,3;146,25;F
1488;153,57;38;145,1;F
1489;154,85;42,3;152,6;F
1490;157,97;46,7;159,5;F
1491;150,87;41,4;154;M
1492;150,64;39,4;150,15;M
1493;150,87;38;145;F
1494;154,09;51,8;168;F
1495;151,2;45,8;158,8;F
1496;155,77;39,8;148,95;M
1497;154,49;42,4;151,8;F
1498;153,01;40,4;150,75;M
1499;157,41;42,7;151,4;F
1500;159,25;43,6;152,3;F
1501;153,57;38,9;145,3;F
1502;160,14;43,3;151,45;F
1503;159,65;53,7;168,5;F
1504;152,38;46,6;158,85;F
1505;156,46;39,1;146,3;M
1506;159,12;48,9;160,15;F
1507;150,15;42,4;150,95;F
1508;153,99;52;165,65;F
1509;159,58;44,7;154,45;M
1510;152,28;46,9;159,9;M
1511;154,98;37,3;141,95;M
1512;150,08;40,7;148,95;M
1513;151,33;42,5;149,25;F
1514;151,89;33,9;135,25;M
1515;161;49;160;M
1516;160,5;48,4;155,85;F
1517;155,57;46,7;154,1;F
1518;154,36;45,4;152,2;F
1519;151,66;41;147,9;M
1520;161,46;41,1;145,2;M
1521;154,45;45,6;152;F
1522;151,53;46,1;153,6;F
1523;153,21;48,3;156,6;F
1524;154,85;41,6;147,65;M
1525;150,94;47,1;155,3;F
1526;155,15;44,2;149,05;F
1527;159,35;51,5;161,95;M
1528;159,58;55,3;164,5;F
1529;153,99;54,3;164,2;F
1530;152,98;51,9;160,6;F
1531;158,76;44,3;149,55;M
1532;157,32;46,6;150,55;F
1533;161,29;49,7;157,4;M
1534;157,05;38,9;140,15;M
1535;160,77;61,9;175,65;M
1536;150,67;45,7;153,6;M
1537;153,8;50,9;157,35;F
1538;150,08;43,5;148,9;M
1539;154,82;44,2;148,55;M
1540;153,24;50,2;155,25;F
1541;159,29;49,2;151,2;F
1542;157,94;45,1;148,25;M
1543;156,62;50,2;156;M
1544;159,06;61,3;167,25;F
1545;161,42;64,3;173,95;M
1546;155,97;60,1;166;F
1547;153,04;41;140,75;M
1548;154,16;43,2;140,65;F
1549;159,02;56,4;158,8;F
1550;151,23;51,9;158,1;M
1551;157,18;50,4;152,95;M
1552;154,42;55,5;158,85;M
1553;151,5;69,6;172,75;F
1554;151,59;61,4;161,45;F
1555;159,29;61,3;160,45;M
1556;157,71;58,7;157,6;M
1557;153,63;50,8;147,7;M
1558;149,98;61;163,1;M
1559;156,82;65,8;162,6;F
1560;160,11;62,9;161,7;M
1561;150,51;51,6;149,3;M
1562;151,36;57,6;152,5;F
1563;159,95;64,7;162;M
1564;150,9;56;148,05;F
1565;160,54;58,8;153;M
1566;159,39;59,7;153,35;M
1567;153,93;51,1;142,6;M
1568;153,47;68,5;164,65;M
1569;159,45;71,8;166;M
1570;156,82;64,4;151,05;M
1571;159,62;76,8;159,15;F
1572;155,8;74,8;157,9;M
1573;150,84;105,9;162,1;F
1574;159,02;108,6;162,55;M
1575;166,36;28,8;143,45;M
1576;173,92;36,1;157,5;M
1577;172,54;30,4;140,55;M
1578;163,73;44,6;171,45;M
1579;162,08;38;158,6;F
1580;172,44;45,8;170,1;M
1581;166,26;42,2;163,7;M
1582;166,98;38,8;156,5;M
1583;172,04;45,7;168,3;M
1584;171,06;42,1;160,85;F
1585;164,68;33,1;143,95;M
1586;162,64;34,8;147,9;M
1587;173,62;39,3;153,25;F
1588;165,34;37,3;150,8;F
1589;167,28;42,8;160,7;M
1590;171,09;39,2;152,15;F
1591;170,37;39,2;152,7;M
1592;162,31;36,4;149;M
1593;165,63;48,8;171,5;M
1594;162,58;41,2;156,85;F
1595;169,81;44,2;159,9;F
1596;173,85;49,8;169,1;M
1597;169,45;40;151;F
1598;165,4;46;162,5;F
1599;170,86;47,8;164,45;F
1600;165,76;40,1;151,15;F
1601;173,33;44;155;F
1602;163,27;46,7;163,45;M
1603;163,99;38,9;147,55;F
1604;170,14;47;160;F
1605;168,23;42,7;154,25;M
1606;172,08;47,5;159,95;F
1607;170,7;53,4;170;F
1608;161,98;46,2;160,1;F
1609;171,65;44,4;154,45;F
1610;172,37;49;162;F
1611;169,51;47,2;161,3;M
1612;162,18;50,1;165,8;F
1613;173,75;50,6;163,9;F
1614;165,3;43,2;154,9;M
1615;168,66;42,5;152,85;M
1616;170,07;52;166,7;F
1617;162,41;49;163,5;F
1618;165,11;43,5;153,25;F
1619;167,77;39,2;144,95;F
1620;169,68;39,3;144,5;F
1621;169,78;49,5;161,9;F
1622;171,78;54;170,5;M
1623;167,84;43,8;152,65;F
1624;163,13;47,8;160,15;F
1625;167,28;41,2;147,75;F
1626;162,74;47,9;160,2;F
1627;170,86;48;158;F
1628;165,07;50,9;163,6;F
1629;163,07;44,9;156,15;M
1630;163,96;43,5;152,95;M
1631;163,17;47,2;157;F
1632;168;46,3;154,5;F
1633;163,2;50,9;163;F
1634;173,42;42,6;146,8;F
1635;163,56;42,7;149,15;F
1636;165,99;43;149,15;F
1637;167,05;53;165;F
1638;166,68;46,8;157,45;M
1639;164,98;49,2;159,55;F
1640;170,04;49,8;158,9;F
1641;167,31;54;166;F
1642;171,29;48,3;156;F
1643;167,61;54,1;168,4;M
1644;168,33;48,8;159,5;M
1645;164,58;49,9;159,5;F
1646;170,01;53,5;163,6;F
1647;166,72;45,3;150,95;F
1648;173,19;46,9;154,15;M
1649;162,28;52,5;163,5;F
1650;165,21;56;170,55;M
1651;169,25;54;166;M
1652;173,72;50,5;159,4;M
1653;164,65;54,1;164,7;F
1654;167,77;51,1;159;F
1655;170,79;54,3;163;F
1656;169,74;53;161;F
1657;169,64;54,1;162,6;F
1658;167,01;53,9;162,15;F
1659;167,31;54,5;162,6;F
1660;169,45;51,6;157,35;F
1661;162,18;53,6;162,1;F
1662;169,81;60,4;173;M
1663;164,12;49,3;157,55;M
1664;163,3;58,3;171,4;M
1665;165,17;53,7;162,8;M
1666;164,45;56;166,5;M
1667;165,93;55,4;165,3;M
1668;167,28;51,2;158,25;M
1669;168,56;67,2;177,55;F
1670;170,24;57;163;F
1671;165,44;47,7;153,15;M
1672;169,71;54,9;162,8;M
1673;173,36;59;164,45;F
1674;173,82;58;163;F
1675;173,62;62;171,5;M
1676;169,51;56,9;164,75;M
1677;173,88;64,8;174,4;M
1678;170,83;49,9;150,6;F
1679;171,75;64,7;174,05;M
1680;171,72;63,7;172,5;M
1681;163,2;62,1;168,9;F
1682;162,18;54,6;158,6;F
1683;172,9;56,6;158,85;F
1684;166,98;60,2;165,15;F
1685;170,2;59;165,45;M
1686;167,28;48,4;150,65;M
1687;168,16;56,9;159,5;F
1688;167,8;55,3;160,5;M
1689;163,3;58,4;165,95;M
1690;171,25;65,3;168,5;F
1691;167,34;52,8;151,85;F
1692;173,62;67,6;173,5;M
1693;170,4;53,1;153,85;M
1694;166,85;60,1;160,85;F
1695;169,97;55;152,55;F
1696;166,39;61;160,95;F
1697;165,07;59;161,95;M
1698;172,24;60,2;157,7;F
1699;170,07;63,9;162;F
1700;171,22;62,4;163;M
1701;169,74;67,5;164,9;F
1702;168,89;64,8;165,5;M
1703;166,32;64;165;M
1704;168,72;79;182,5;M
1705;172,64;70;166;F
1706;165,37;65;164;M
1707;172,87;60,4;151,95;F
1708;164,71;68,6;163,55;F
1709;172,73;78,2;176,2;M
1710;169,25;77;170;F
1711;173,13;79;173,2;M
1712;167,15;72,7;162,5;F
1713;164,65;69,3;157,65;F
1714;169,05;77,3;169,5;M
1715;165,11;74,9;161,6;F
1716;163,4;76,1;166,05;M
1717;166,78;73,9;157,85;F
1718;163,1;83,4;167,9;M
1719;180,56;35,3;154;F
1720;176,68;45,8;172,05;F
1721;180,46;46,6;171,3;M
1722;176,68;44,9;168,5;F
1723;179,11;47,8;171,8;M
1724;180,2;41,5;160;F
1725;179,87;49,9;175;M
1726;176,94;52,7;180,15;M
1727;183,58;50;174;F
1728;181,32;41;156,65;F
1729;176,19;46;166,5;M
1730;183,81;40,5;154,8;F
1731;180,82;30,7;135,05;F
1732;177,86;35,4;145,45;F
1733;178,36;44,2;162;M
1734;176,38;48;169;F
1735;177,4;52,5;176;F
1736;183,32;47,8;166,5;M
1737;175,76;49;169;F
1738;183,19;46,2;162,55;M
1739;182,2;42,6;156;F
1740;182,07;51,3;169,3;M
1741;178,85;43,8;156,65;F
1742;183,98;51,5;168,75;F
1743;174,74;47;162;F
1744;178,09;45;158,5;M
1745;182,14;48,6;162,5;F
1746;177,6;54,8;174,5;M
1747;179,38;41,9;151,15;F
1748;174,48;43,4;154,55;F
1749;180,49;48,6;162,25;F
1750;174,61;47;160;F
1751;179,01;53;168;F
1752;177,14;53,5;168,95;F
1753;182,2;54,2;169;F
1754;177,34;41,5;148,65;F
1755;179,05;43,5;151,6;F
1756;179,51;50,1;163,8;M
1757;178,82;44,2;152,9;F
1758;181,84;45,6;154,4;F
1759;176,61;55;170;F
1760;181,41;44,5;150,9;F
1761;177,37;50,6;162,95;M
1762;174,44;54,6;168,05;F
1763;179,97;57,1;170,4;F
1764;178,78;52,2;162,05;F
1765;174,51;49,4;160,35;M
1766;177,3;53,5;166;M
1767;178,13;58,3;173;M
1768;174,31;50,6;158,95;F
1769;179,28;52,9;161,45;F
1770;181,25;50,1;156,5;F
1771;174,51;52;160,5;F
1772;176,25;49,2;155,55;F
1773;183,62;65,8;180;M
1774;179,41;57;166;F
1775;175,92;52,4;159,45;F
1776;178,29;50,9;158,55;M
1777;179,05;48;151,45;F
1778;178,62;64,9;177,65;M
1779;176,48;53,1;158,35;F
1780;184,83;54;160;M
1781;177,07;58,7;167,95;M
1782;174,71;61;172;M
1783;174,9;57,9;164,75;F
1784;182,53;60,4;166,45;F
1785;174,41;52,3;156,25;F
1786;176,15;53,5;157,35;F
1787;174,87;54,7;159,4;F
1788;180,89;55,2;158,5;F
1789;181,35;55;158;F
1790;176,98;60,4;169,3;M
1791;180,26;65,2;174,35;M
1792;182,93;65,8;172;F
1793;178,75;60,8;168,15;M
1794;176,22;65;174;M
1795;177,8;65;173,5;M
1796;176,12;57,6;163,45;M
1797;174,84;63;170,5;M
1798;174,84;63;170,5;M
1799;180,2;56,5;156,25;F
1800;177,27;67,4;174,1;M
1801;179,44;57,4;157,15;F
1802;180,33;58,4;157,9;F
1803;177,17;58,8;158,85;F
1804;177,6;61,3;164,2;M
1805;176,91;64;162,25;F
1806;176,12;80,8;185,8;M
1807;179,01;77,9;181;M
1808;175,66;67;164,5;F
1809;176,38;63;159;F
1810;181,25;77,3;176,5;M
1811;181,25;77,3;176,5;M
1812;185,26;65,9;158,95;F
1813;180,69;73,2;171;M
1814;175,23;67,4;165,3;M
1815;183,12;73;168;M
1816;179,51;74,3;170,25;M
1817;176,48;87,2;184;M
1818;176,84;68,3;162,5;M
1819;176,42;70;160;F
1820;179,64;75,2;164,5;F
1821;180,53;89,1;178;M
1822;174,41;77,6;166,4;M
1823;179,8;74,5;158,5;M
1824;190,36;42,3;151,9;F
1825;191,08;52,6;167;F
1826;189,63;55;168;F
1827;188,75;62;178;M
1828;196,31;52,2;157,55;M
1829;195,85;54,6;154,55;M
1830;189,5;65,4;168,95;M
1831;200,55;55,2;165;F
1832;219,78;48;168;F
1833;220,47;49;169;F
1834;218,01;46;163;F
1835;221,82;50;169;F
1836;219,98;55;172;M
1837;220,41;51;169;F
1838;221,79;45;158;F
1839;216;50;165;F
1840;221,88;53;168;F
1841;220,93;51;163;F
1842;219,42;51;162;F
1843;221,36;55;167;F
1844;220,47;57;169;F
1845;217,68;51;158;F
1846;211,36;72;183;M
1847;214,32;50,9;154,4;F
1848;219,81;52;154;F
1849;220,8;57;158;F
1850;220,9;70;174;F
